('245,122,000.00', '198,270,000.00', '261,802,000.00', '211,915,000.00', '168,088,000.00')
         771816 function calls (747944 primitive calls) in 3.879 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  239/236    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
       59    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
     1397    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      261    0.000    0.000    0.002    0.000 _state.py:275(process_event)
     3794    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     1848    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
      712    0.000    0.000    0.001    0.000 sre_compile.py:447(_simple)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2132(IPv6Interface)
       77    0.000    0.000    0.003    0.000 css_parser.py:462(parse_attribute_selector)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      667    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
       95    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
     4461    0.000    0.000    0.000    0.000 element.py:2219(__bool__)
      617    0.000    0.000    0.003    0.000 enum.py:359(__call__)
      222    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      123    0.000    0.000    0.000    0.000 sre_compile.py:437(<listcomp>)
     2687    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      796    0.000    0.000    0.001    0.000 filter.py:623(_match_attribute_value_helper)
       89    0.000    0.000    0.005    0.000 dataclasses.py:412(_create_fn)
     1789    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       24    0.000    0.000    0.000    0.000 enum.py:222(<setcomp>)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      100    0.000    0.000    0.004    0.000 typing.py:483(Union)
      222    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      441    0.000    0.000    0.000    0.000 typing.py:1902(get_origin)
      262    0.000    0.000    0.000    0.000 _state.py:301(_fire_event_triggered_transitions)
      421    0.000    0.000    0.000    0.000 sre_parse.py:259(getwhile)
