('245,122,000.00', '198,270,000.00', '261,802,000.00', '211,915,000.00', '168,088,000.00')
         766505 function calls (742673 primitive calls) in 2.639 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      307    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
      307    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      307    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      304    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
    303/1    0.005    0.000    2.639    2.639 {built-in method builtins.exec}
      303    0.000    0.000    0.205    0.001 <frozen importlib._bootstrap_external>:159(_path_isfile)
      301    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
      299    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
      297    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      296    0.000    0.000    0.000    0.000 _receivebuffer.py:67(_extract)
      294    0.000    0.000    0.001    0.000 _connection.py:352(receive_data)
      294    0.000    0.000    0.000    0.000 _receivebuffer.py:53(__iadd__)
      294    0.000    0.000    0.000    0.000 _receivebuffer.py:57(__bool__)
      294    0.001    0.000    1.185    0.004 sync.py:124(read)
      294    1.182    0.004    1.182    0.004 {method 'read' of '_ssl._SSLSocket' objects}
      294    0.000    0.000    1.182    0.004 ssl.py:1150(read)
      294    0.000    0.000    1.183    0.004 ssl.py:1281(recv)
    290/6    0.000    0.000    1.018    0.170 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      288    0.000    0.000    0.001    0.000 typing.py:947(__init__)
      284    0.001    0.000    0.005    0.000 typing.py:1016(__init__)
      281    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      281    0.000    0.000    0.000    0.000 dataclasses.py:424(<genexpr>)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      267    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      267    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
      267    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
    267/7    0.001    0.000    1.048    0.150 <frozen importlib._bootstrap>:1022(_find_and_load)
    266/6    0.001    0.000    1.048    0.175 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      265    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      265    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      263    0.000    0.000    0.000    0.000 _connection.py:205(our_state)
      261    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      261    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
      261    0.001    0.000    0.431    0.002 <frozen importlib._bootstrap>:921(_find_spec)
      259    0.000    0.000    0.000    0.000 _connection.py:330(_respond_to_state_changes)
      259    0.000    0.000    0.000    0.000 _state.py:301(_fire_event_triggered_transitions)
      258    0.001    0.000    0.002    0.000 _connection.py:260(_process_event)
      258    0.000    0.000    0.001    0.000 _state.py:275(process_event)
      258    0.000    0.000    0.001    0.000 _state.py:318(_fire_state_triggered_transitions)
      255    0.002    0.000    1.197    0.005 http11.py:209(_receive_event)
      255    0.000    0.000    0.000    0.000 _connection.py:248(_server_switch_event)
      254    0.000    0.000    0.261    0.001 http11.py:196(_receive_response_body)
      254    0.000    0.000    0.261    0.001 http11.py:330(__iter__)
      254    0.000    0.000    0.000    0.000 _events.py:299(__init__)
      254    0.000    0.000    0.261    0.001 connection_pool.py:401(__iter__)
      254    0.000    0.000    0.261    0.001 default.py:125(__iter__)
      254    0.000    0.000    0.269    0.001 _models.py:884(iter_bytes)
      254    0.000    0.000    0.262    0.001 _models.py:935(iter_raw)
      254    0.000    0.000    0.261    0.001 _client.py:152(__iter__)
      253    0.006    0.000    0.006    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      253    0.000    0.000    0.006    0.000 _decoders.py:95(decode)
      251    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      248    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
      248    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      246    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      244    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      244    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      244    0.001    0.000    0.428    0.002 <frozen importlib._bootstrap_external>:1399(_get_spec)
      244    0.000    0.000    0.428    0.002 <frozen importlib._bootstrap_external>:1431(find_spec)
      243    0.000    0.000    0.000    0.000 typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
      243    0.001    0.000    0.002    0.000 typing_extensions.py:2989(_collect_type_vars)
      239    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
      239    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
  239/236    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    239/6    0.001    0.000    1.029    0.172 <frozen importlib._bootstrap>:664(_load_unlocked)
      227    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      225    0.000    0.000    0.000    0.000 enum.py:801(value)
      225    0.000    0.000    0.000    0.000 types.py:176(__get__)
      222    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      222    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      222    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
  215/175    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
  214/212    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      213    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      213    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
      213    0.061    0.000    0.061    0.000 {method 'read' of '_io.BufferedReader' objects}
      213    0.061    0.000    0.061    0.000 {method '__exit__' of '_io._IOBase' objects}
      213    0.160    0.001    0.160    0.001 {built-in method io.open_code}
  213/150    0.000    0.000    0.000    0.000 typing.py:1247(__hash__)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      213    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      213    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
    213/6    0.000    0.000    1.029    0.172 <frozen importlib._bootstrap_external>:877(exec_module)
      213    0.002    0.000    0.448    0.002 <frozen importlib._bootstrap_external>:950(get_code)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
      213    0.001    0.000    0.283    0.001 <frozen importlib._bootstrap_external>:1070(get_data)
      213    0.000    0.000    0.146    0.001 <frozen importlib._bootstrap_external>:1089(path_stats)
      211    0.000    0.000    0.001    0.000 typing.py:1143(<genexpr>)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
      196    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      195    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      195    0.000    0.000    0.001    0.000 enum.py:986(__and__)
      195    0.001    0.000    0.006    0.000 sre_compile.py:560(_compile_info)
      195    0.000    0.000    0.030    0.000 sre_compile.py:622(_code)
      195    0.001    0.000    0.085    0.000 sre_compile.py:783(compile)
      195    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
      195    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
      195    0.000    0.000    0.054    0.000 sre_parse.py:944(parse)
      190    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      185    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      185    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
      185    0.000    0.000    0.005    0.000 sre_parse.py:97(closegroup)
      177    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      170    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      168    0.000    0.000    0.000    0.000 enum.py:559(<lambda>)
      162    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
      158    0.000    0.000    0.000    0.000 typing_extensions.py:3024(<listcomp>)
      143    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      141    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
