('245,122,000.00', '198,270,000.00', '261,802,000.00', '211,915,000.00', '168,088,000.00')
         754775 function calls (730800 primitive calls) in 7.474 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.014    0.014 url.py:1(<module>)
        1    0.000    0.000    0.061    0.061 css_parser.py:1(<module>)
        2    0.000    0.000    0.076    0.038 connection.py:1(<module>)
       10    0.000    0.000    0.002    0.000 enum.py:483(_create_)
       47    0.000    0.000    0.001    0.000 functools.py:518(decorating_function)
       38    0.000    0.000    0.265    0.007 response.py:1151(_handle_chunk)
      270    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      169    0.000    0.000    0.000    0.000 typing.py:1902(get_origin)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        1    0.000    0.000    0.031    0.031 cd.py:1(<module>)
     1630    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       49    0.000    0.000    0.856    0.017 {method 'readline' of '_io.BufferedReader' objects}
       12    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        1    0.000    0.000    0.067    0.067 adapters.py:1(<module>)
      190    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
       69    0.000    0.000    0.000    0.000 css_parser.py:532(parse_tag_pattern)
       60    0.000    0.000    0.001    0.000 typing.py:1147(copy_with)
        2    0.000    0.000    0.020    0.010 request.py:1(<module>)
      264    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
        3    0.000    0.000    0.078    0.026 response.py:1(<module>)
      514    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      535    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 models.py:658(__init__)
       57    0.000    0.000    0.001    0.000 abc.py:105(__new__)
       39    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
      211    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        1    0.000    0.000    0.000    0.000 ssl.py:1002(SSLSocket)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
      301    0.000    0.000    0.000    0.000 socket.py:730(readable)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.046    0.046 dammit.py:1(<module>)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1636(_ip_int_from_string)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
        2    0.000    0.000    0.009    0.004 models.py:1(<module>)
      413    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
      300    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
        6    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
